type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment

# offen - ggf irrelevant für mein System:
*w,
*r,
#w,,,Operation,Betriebsdaten des Reglers an den Feuerungsautomaten,,03,0507,,status,,UCH,0=off;1=none;85=hwc;170=heat;204=emissioncheck;221=techcheck;238=stop;102=hwc_stop;187=hwc_heat;68=hwc_stepped,,status heat request,action,,UCH,0=none;1=pumpoff;2=pumpon;3=consumeoff;4=consumeon,,variable consumers,desiredtemp,,D2C,,°C,boiler target temperature,desiredpress,,D2B,,bar,boiler target pressure,settingdegree,,D1C,,%,"setting degree, steps instead of percent when action is 0x44=hwc_stepped",hwcdesiredtemp,,D1C,,°C,hot water target temperature,fuel,,UCH,0=dontcare;1=gas;2=oil;3=dontcare1,,fuel choice
#w,,,RcTarget,Sollwertübertragung des Reglers an andere Regler,,03,0800,,desiredtemp,,D2B,,°C,boiler target temperature,outsidetemp,,D2B,,°C,outside temperature,forced,,SCH,,%,forced performance,hwc,,BI0,,,hot water active,hc,,BI1,,,heat active,hwcdesiredtemp,,D2B,,°C,hot water target temperature
r,,,Hg01,HG 01 - Hysterese Vorlauftemperatur (5-30),,,5022,002200,value,,UIN,10,°C,temperature
w,,,Hg01,HG 01 - Hysterese Vorlauftemperatur (5-30),,03,5023,002200,value,,UIN,10,°C,temperature
r,,,Hg02,HG 02 - Untere Geblaesedrehzahl (25-100),,,5022,005a01,value,,UIN,,%,percent
r,,,Hg03,HG 03 - Obere Geblaesedrehzahl Warmwasser,,,5022,005901,value,,UIN,,%,percent
r,,,Hg04,HG 04 - Obere Geblaesedrehzahl Heizung (1-100),,,5022,003f01,value,,UIN,,%,percent
r,,,Hg06,HG 06 - Heizkreispumpenbetriebsart (0-2),,,5022,004101,value,,UIN,,,
w,,,Hg06,HG 06 - Heizkreispumpenbetriebsart (0-2),,03,5023,004101,value,,UIN,,,
r,,,Hg07,HG 07 - Heizkreispumpennachlauf (0-30),,,5022,004201,value,,UIN,,minutes,minutes
w,,,Hg07,HG 07 - Heizkreispumpennachlauf (0-30),,03,5023,004201,value,,UIN,,minutes,minutes
r,,,Hg08,HG 08 - Maximale Vorlaufsolltemperatur (40-90),,,5022,008402,value,,UIN,10,°C,temperature
w,,,Hg08,HG 08 - Maximale Vorlaufsolltemperatur (40-90),,03,5023,008402,value,,UIN,10,°C,temperature
r,,,Hg09,HG 09 - Taktsperre (1-30),,,5022,004301,value,,UIN,,minutes,minutes
w,,,Hg09,HG 09 - Taktsperre (1-30),,03,5023,004301,value,,UIN,,minutes,minutes
r,,,Hg10,HG 10 - eBus-Adresse,,,5022,007801,value,,UIN,,,
r,,,Hg11,HG 11 - Warmwasserschnellstart,,,5022,006a01,value,,UIN,10,°C,temperature
r,,,Hg12,HG 12 - Gasart,,,5022,006b01,value,,UIN,,,
r,,,Hg15,HG 15 - Speicherhysterese (1-30),,,5022,004001,value,,UIN,10,°C,temperature
w,,,Hg15,HG 15 - Speicherhysterese (1-30),,03,5023,004001,value,,UIN,10,°C,temperature
r,,,Hg16,HG 16 - Pumpenleistung HK minimal (20-100),,,5022,005501,value,,UIN,,minutes,minutes
w,,,Hg16,HG 16 - Pumpenleistung HK minimal (20-100),,03,5023,005501,value,,UIN,,minutes,minutes
r,,,Hg17,HG 17 - Pumpenleistung HK maximal (20-100),,,5022,005601,value,,UIN,,minutes,minutes
w,,,Hg17,HG 17 - Pumpenleistung HK maximal (20-100),,03,5023,005601,value,,UIN,,minutes,minutes
r,,,Hg21,HG 21 - Kesselminimaltemperatur,,,5022,001f00,value,,UIN,10,°C,temperature
w,,,Hg21,HG 21 - Kesselminimaltemperatur,,03,5023,001f00,value,,UIN,10,°C,temperature
r,,,Hg22,HG 22 - Kesselmaximaltemperatur,,,5022,002700,value,,UIN,10,°C,temperature
w,,,Hg22,HG 22 - Kesselmaximaltemperatur,,03,5023,002700,value,,UIN,10,°C,temperature
r,,,Hg73,HG 73 - Io-Istwert,,,5022,007001,value,,UIN,,minutes,minutes
r,,,Hg74,HG 74 - Geblaesedrehzahl,,,5022,00f601,value,,UIN,,U/sec,
r,,,Hg75,HG 75 - Warmwasserdurchsatz,,,5022,006c01,value,,UIN,,minutes,minutes
r,,,Hg9x,HG 9x - Netzbetriebsstunden,,,5022,002802,value,,UIN,,hours,hours
r,,,Hg90,HG 90 - Brennerbetriebsstunden,,,5022,002a02,value,,UIN,,hours,hours
r,,,Hg91,HG 91 - Brennerstarts,,,5022,002602,value,,UIN,,,
r,,,Pump,PWM Pumpe,,,5022,006d01,value,,UIN,,%,percent


# working: (BM-2 Ausgabewerte A01-A03) https://ai.withgrips.com/c/578b57a2-21d8-4881-9f27-7e47485f1b99
r,,,Flowtempdesired,Vorlauf Sollwert,,,5022,000200,value,,UIN,10,°C,temperature
r,,,Flowtemp,Vorlauf Istwert,,,5022,000d00,value,,UIN,10,°C,temperature
r,,,Hwctempdesired,Warmwasser Solltemperatur,,,5022,000300,value,,UIN,10,°C,temperature

r,,,tagzieltemp,Tag Zieltemperatur (35->50),,35,5022,fb7d27,,,UIN,10,°C,temperature
# => 23

# Testing:
r3,,,temp_burner,Kesseltemperatur (30->08),,08,5022,CC0D00,,,UIN,10,°C,temperature
# => 35

r,,,kesselsolltemperatur,Kesselsolltemperatur,,08,5022,CC0200,,,SIN,10,°C,temperature
# => 40

# breaks other roomtemp in bm2.csv => seems broken in bm2, enable this here
r,,,raumtemp,Raumtemperatur,,35,5022,77b427,value,,UIN,10,°C,temperature

